us-alabama	34172	12180	1	The University of Alabama	Tuscaloosa
us-american	58771	58771	2	American University	Washington
us-asu	33139	12223	1	Arizona State University Campus Immersion	Tempe
us-auburn	34922	12890	1	Auburn University	Auburn
us-baylor	58100	58100	2	Baylor University	Waco
us-berkeley	50547	16347	1	University of California-Berkeley	Berkeley
us-binghamton	30447	10567	1	Binghamton University	Vestal
us-boston-college	70702	70702	2	Boston College	Chestnut Hill
us-brandeis	68080	68080	2	Brandeis University	Waltham
us-brown	71412	71412	2	Brown University	Providence
us-bu	68102	68102	2	Boston University	Boston
us-byu	6688	6688	2	Brigham Young University	Provo
us-caltech	65898	65898	2	California Institute of Technology	Pasadena
us-case-western	66608	66608	2	Case Western Reserve University	Cleveland
us-clark	58867	58867	2	Clark University	Worcester
us-clemson	40866	15554	1	Clemson University	Clemson
us-cleveland-state	18510	12988	1	Cleveland State University	Cleveland
us-cmu	66246	66246	2	Carnegie Mellon University	Pittsburgh
us-colorado-boulder	44918	15666	1	University of Colorado Boulder	Boulder
us-colorado-mines	45824	21914	1	Colorado School of Mines	Golden
us-columbia	71845	71845	2	Columbia University in the City of New York	New York
us-cornell	69314	69314	2	Cornell University	Ithaca
us-dartmouth	68268	68268	2	Dartmouth College	Hanover
us-dayton	49140	49140	2	University of Dayton	Dayton
us-delaware	41400	16810	1	University of Delaware	Newark
us-denver	61398	61398	2	University of Denver	Denver
us-drew	47100	47100	2	Drew University	Madison
us-drexel	62412	62412	2	Drexel University	Philadelphia
us-duke	68758	68758	2	Duke University	Durham
us-emory	64280	64280	2	Emory University	Atlanta
us-fiu	18964	6565	1	Florida International University	Miami
us-florida	28659	6381	1	University of Florida	Gainesville
us-florida-state	18786	5656	1	Florida State University	Tallahassee
us-fordham	64915	64915	2	Fordham University	Bronx
us-george-mason	38688	14220	1	George Mason University	Fairfax
us-georgetown	68017	68017	2	Georgetown University	Washington
us-georgia	31688	11450	1	University of Georgia	Athens
us-georgia-tech	34484	12058	1	Georgia Institute of Technology-Main Campus	Atlanta
us-gonzaga	55480	55480	2	Gonzaga University	Spokane
us-gwu	67710	67710	2	George Washington University	Washington
us-harvard	61676	61676	2	Harvard University	Cambridge
us-hofstra	57660	57660	2	Hofstra University	Hempstead
us-indiana	41891	12144	1	Indiana University-Bloomington	Bloomington
us-iowa	33371	11283	1	University of Iowa	Iowa City
us-james-madison	31604	14250	1	James Madison University	Harrisonburg
us-jhu	65230	65230	2	Johns Hopkins University	Baltimore
us-lehigh	64980	64980	2	Lehigh University	Bethlehem
us-lsu	28631	11954	1	Louisiana State University and Agricultural & Mechanical College	Baton Rouge
us-marquette	51170	51170	2	Marquette University	Milwaukee
us-maryland	41186	11809	1	University of Maryland-College Park	College Park
us-miami	62616	62616	2	University of Miami	Coral Gables
us-miami-ohio	41221	18161	1	Miami University-Oxford	Oxford
us-michigan	60946	17736	1	University of Michigan-Ann Arbor	Ann Arbor
us-michigan-state	43842	16458	1	Michigan State University	East Lansing
us-minnesota	38362	17214	1	University of Minnesota-Twin Cities	Minneapolis
us-missouri	36056	14837	1	University of Missouri-Columbia	Columbia
us-missouri-st	33248	14984	1	Missouri University of Science and Technology	Rolla
us-mit	62396	62396	2	Massachusetts Institute of Technology	Cambridge
us-nc-state	32847	8799	1	North Carolina State University at Raleigh	Raleigh
us-nebraska	28584	10434	1	University of Nebraska-Lincoln	Lincoln
us-new-hampshire	39852	19202	1	University of New Hampshire-Main Campus	Durham
us-northeastern	67778	67778	2	Northeastern University Oakland	Oakland
