# 미국 학교 공식 유튜브 영상 — id <TAB> videoId. gen-us.ps1이 읽는다.
# 수집: 유튜브 검색 + 공식 채널 확인, oEmbed로 채널·제목 검증 (2026-08-02)
us-mit	r7R8ewU1Wqc
us-stanford	_Nq4Z5i7lcs
us-harvard	GyZd6tABvto
us-upenn	hUe0cGHOOo8
us-yale	qT6ScftAtLc
us-cornell	U15qVeDKkpo
us-jhu	uPrih2O1BnY
us-uchicago	OiFE9_ZDrUw
us-princeton	y8tuIQTNUyQ
us-columbia	7cwUcdpUayQ
us-northwestern	_EvhD2MPtYs
us-cmu	kGiaKTHmfyE
us-brown	IEy-3NlT9yg
us-duke	TtyFkYc3wH4
us-ut-austin	MZfxbwmPHEI
us-uiuc	jtdHuXcu3J0
us-ucsd	W5jHP0f5OrA
us-penn-state	GGRjOBS3U2g
us-uw	WzJc75S-LzY
us-bu	jrr9wWXB2js
us-purdue	4PUkL2uI2Cw
us-rice	nFlgR9Ro650
us-wisconsin	omBy7tSnHuI
us-uc-davis	hnGp8kJxmoo
us-georgia-tech	iYS5kNCFDsc
us-washu	wHyOxUrcVnc
us-texas-am	2gccgFaFWq0
us-asu	x0HeJsIFXGU
us-ucsb	GDrl-q-6IwM
us-michigan-state	nb1Es5lT_1Y
us-emory	Uh70E4hKTog
us-florida	cNr3r3nT8KE
us-rochester	HIE6qCXeifs
us-uc-irvine	nYtWu-DH-8Y
us-maryland	jgKQQO95VWg
us-umass-amherst	ZdH92R0VUes
us-vanderbilt	rNRliOIdw54
us-uva	YV87R54LYtc
us-dartmouth	zP28FSV1k_E
us-pittsburgh	O7T7kFuHow8
us-georgetown	lfpf-wxW-cM
us-notre-dame	ldujCTK-Zf8
us-rutgers	lJcp44h-CWU
us-colorado-boulder	kCbPiZWYnfM
us-case-western	EGpkud7D6Ls
us-tufts	LkbvCXj9XN0
us-miami	8zCdAeWC_ZM
us-indiana	JARxUNFubto
us-virginia-tech	uzHwjax5ib8
us-gwu	qEIJK4aHgm0
us-northeastern	0U9sYMicyRw
us-uc-santa-cruz	fsVXU1rkVf8
us-stony-brook	19pnH2it9gM
us-utah	kDhGwF-wVC4
us-georgia	UcC7z2nNnuQ
us-florida-state	-1zrPQ0UIy4
us-boston-college	-eJc_LMw9H0
us-delaware	6C5ABYo2_P4
us-colorado-mines	iZyUZOYgSn0
us-tulane	no_01Re2IK8
us-iowa	biQUsJ01F40
us-american	lQoshQZGuwE
us-fiu	i3guzSb-_i0
us-lehigh	TDF1b9iVZxI
us-stevens	UWOqgGz21gk
us-oregon-state	EHffCIA0DQ8
us-oregon	ZXsniX22DYM
us-south-carolina	9XWDBv02NY4
us-missouri	6cnATyUplEo
us-ucf	ilrzn_l7J_g
us-syracuse	HGeaMXigyuE
us-brandeis	aiiCRA3G5e0
us-missouri-st	lWCY4vpql9s
us-drexel	pOotu3VFRcM
us-wake-forest	pS2IJpO3hcQ
us-nebraska	CW5uvRj9oFQ
us-auburn	IsCs_GYfMPk
us-clemson	NnHNgXaZON4
us-clark	7egh9xW_2V8
us-uab	uy5oKsp1YpY
us-william-mary	1UsXhX37wzQ
us-fordham	v9B3Fk_uuRs
us-vermont	rPjHLYmnIkA
us-binghamton	mAtReugYM0I
us-alabama	90PRZhLeerE
us-denver	pvfbjXWAolY
us-tulsa	yJT68Z0C4Jc
us-saint-louis	ubN3cYFQd4g
us-george-mason	P5HdenugAKg
us-umass-boston	dv6CIqf2QpU
us-unr	r1jaVRqcVEU
us-utsa	P0M0d__elkM
us-wyoming	ZJwYQHZGmFc
us-byu	qohZGTqhXmg
us-baylor	1lRX1N0A3Rg
us-miami-ohio	l-l_FUVvyBo
us-new-hampshire	Dkf7R2q-6t0
us-seattle-u	9kb8suaN5j0
us-pepperdine	4Lj_3etmiek
us-marquette	0_XP4n_5H3A
us-san-diego	LLjxkdh_Oy4
us-james-madison	F7tITVavUDo
us-gonzaga	QzsijUD7MdA
us-dayton	GZuzO8DcElk
us-cleveland-state	5beiaxky9F4
us-hofstra	ZLq7lJwS7l8
us-suffolk	qknBK9lSZuY
us-drew	t4hx-P7GUoo
us-simmons	oRWmCZrY1wM
us-pace	CfMNwUi85LI
us-smc	pepVD5e0dBY
us-deanza	D4RXehtTepQ
us-ivc	avjfHzZHVa4
us-bellevue	xRsWzQlwna0
us-edmonds	_QSLsPTUoZg
us-seattle-central	Byo9DSPC-0s
us-green-river	AS1STgwjpYM
us-caltech	4PYLCvaMEWc
us-berkeley	e-hMKIN2n3g
us-ucla	1WhILEsWSv0
us-michigan	PV106NYa55U
us-nyu	GxqR6p8r6z0
us-unc	Qc27nLLRUbs
us-minnesota	9m_V3t2m0b0
us-nc-state	EP_blwEf2K8
us-uic	D8HCAU2QGFI
us-uconn	V2KtqT5CmF0
us-rpi	YxJZsNdwr-M
us-lsu	8vRjYw2O4Zo
us-wpi	9-DSlKGfAzk
us-smu	CRDEZ8wNGh8
us-tcu	RLU5zUfYZmY
us-dvc	glvPPefKxJY
us-usc	eERe0-E4Zpg
